text,label
"Get job alerts in your inbox",JOB ALERT
"New AI Engineer job posted",JOB ALERT
"Rahul Chauhan and others share their thoughts on LinkedIn",NOT IMPORTANT
"5 Day AI Agents Capstone Challenge",NOT IMPORTANT
"Complete your LinkedIn profile",NOT IMPORTANT
"Your application has been viewed",RECRUITER MESSAGE
"Hiring for Software Developer role",JOB ALERT
"Interview invitation from Infosys",INTERVIEW
"Assessment test scheduled",INTERVIEW
"Your account has been debited",BANKING
"Transaction successful",BANKING
"Payment received via UPI",BANKING
